player,team,games,fgm,fga,ftm,fta,tpm,pts,reb,ast,stl,blk,tov
Jeremiah Fears,NOP,72,5.703514663954006,13.170274131438141,2.568897420332211,3.2035640244603028,1.3863754164268953,15.457040067401245,4.039909455244292,3.742896450747607,1.2869522415939334,0.42793861170434433,2.3226696990050772
Luke Kornet,SAS,66,2.610358178777231,3.9581299497698827,1.1795816761502869,1.5063402309262564,0.021321957021144956,6.325467252342353,5.632863933200557,1.7131955895804651,0.4929370997561002,0.9927838382390578,0.4185951206332108
Jay Huff,IND,66,3.1058171230921476,6.385367691016954,0.935920015211005,1.1677443588622585,1.294510468693997,8.411205945164104,3.5069749267663943,1.2158432068048035,0.43421297799120345,1.4485572218610379,0.7760914427434688
Saddiq Bey,NOP,42,5.871450339865902,13.045801000782223,3.2853499008843166,3.9539373960314954,2.0549003394234235,17.083088851382204,5.7181422219432525,2.3705666438297888,0.8883336820869793,0.11781196751479797,0.9103841639941899
Brook Lopez,LAC,71,3.3092435158501443,7.087089337175792,0.8684942363112392,1.123494236311239,1.372492795389049,8.93479827089337,3.626340057636887,1.2810014409221901,0.5003242074927954,1.341873198847262,0.7875360230547551
Kevin Porter Jr.,MIL,48,4.945836914582863,10.798728441861996,2.50677258673653,3.048730672742678,1.000538508863004,13.447456267726308,4.301514182977343,5.056612546526766,1.54270092997416,0.3355507001317143,2.2292353326104655
Stephon Castle,SAS,71,5.920676017802271,13.029057346389122,3.9499857617716803,5.374574755661377,1.3073585847406082,17.098602562176488,4.990246970032998,6.466707371219269,1.0990948091681367,0.32492676184594327,2.986519524971783
Santi Aldama,DAL,48,5.170504785682369,10.931161599204097,1.4209901799740312,2.094230039899326,1.7801517691063988,13.599151724081942,6.780311790056913,2.962794890216396,0.8744286290579989,0.6317772332123975,1.2512705767543817
Dylan Harper,SAS,64,5.115078618268799,10.29040434456945,1.4973682529005259,1.9325679052688085,1.088870017336775,12.815649272442103,3.6789355884578065,4.127495506897972,0.8894331989050166,0.32602486543765363,1.5295811245741355
Fred VanVleet,HOU,23,4.9358814229249015,12.65485770750988,2.0669051383399206,2.454905138339921,2.7309525691699603,14.600608695652172,3.61698814229249,6.131703557312253,1.49602371541502,0.4999525691699606,1.5109762845849806
Wendell Carter Jr.,ORL,69,3.908628659476117,7.843297380585515,2.243605546995377,2.9436055469953772,0.7996918335901386,10.883513097072418,7.294761171032357,1.9745762711864405,0.7830508474576271,0.5915254237288136,1.228659476117103
Tari Eason,HOU,51,4.287259694644354,9.664138904613345,1.1312609684262387,1.4326938500119177,1.3893823733029504,11.062994910481121,6.283262909974989,1.5338807800017695,1.3511325193067374,0.6512917475715804,1.2799541601225635
Kelly Oubre Jr.,PHI,51,5.434939759036145,11.715261044176707,2.290763052208835,3.040562248995984,1.4919678714859437,14.638955823293172,5.397590361445783,1.6586345381526104,1.3951807228915662,0.5273092369477912,1.3502008032128514
Jaime Jaquez Jr.,MIL,70,5.65875327045436,11.431330557725904,2.2048896651328946,2.911010602039505,0.8348811369260507,14.370153362969607,5.0038194653708645,4.048517827534324,0.8513030147439146,0.28822475542813164,1.990632692300546
Malik Monk,SAC,60,5.233102253032929,11.893934142114384,1.916464471403813,2.175216637781629,2.0462738301559793,14.450259965337954,2.666897746967071,4.1407279029462725,0.7013864818024264,0.4800693240901213,1.8790294627383013
Andrew Nembhard,IND,58,4.84014598540146,10.773905109489052,2.460036496350365,2.9788321167883205,1.3844890510948906,13.489233576642334,2.891058394160584,6.292518248175183,1.0067518248175182,0.13558394160583945,2.0392335766423355
Royce O'Neale,PHX,73,3.1089791066282424,7.385700288184439,0.2865,0.4047053314121038,2.4095172910662828,8.913975504322767,4.55303818443804,2.4345619596541788,0.945092219020173,0.40374207492795394,1.0741685878962537
Anfernee Simons,CHI,54,6.058003766478343,14.054990583804143,1.9651600753295668,2.1702448210922785,2.9188323917137478,16.99642184557439,2.674387947269303,3.617702448210923,0.6581920903954802,0.09999999999999999,1.6463276836158192
Keldon Johnson,SAS,78,5.002957746478874,10.069718309859155,1.9583098591549297,2.510281690140845,1.225774647887324,13.280281690140843,5.214507042253521,1.6011267605633803,0.6097183098591549,0.18450704225352113,0.9811267605633803
